Player_Name,Era_ID,Era_Label,Archetype_ID,Archetype_Label,Seasons_Played,Career_Games,Playoff_Seasons,Playoff_Games,Championships,Finals_MVP,All_NBA_Teams,All_Defensive_Teams,Career_PPG,Playoff_PPG,Career_PER,Peak_5Yr_PER,Playoff_PER,Career_BPM,Playoff_BPM,Career_TS_Pct,Career_WS_per_48,Playoff_WS_per_48,Athletic_Raw_Rank,Yahoo_Raw_Rank,BR_Raw_Rank,All_NBA_PS
Michael Jordan,3,1990-1999,0,Heliocentric Scorer,15,1072,13,179,6,6,11,9,30.1,33.4,45.6,51.9,47.9,4.5,5,0.569,0.328,0.312,1,1,1,0.733333333
LeBron James,5,2010-2019,2,Point Forward / Playmaker,23,1622,19,302,4,4,20,6,26.8,28.2,45.8,48.6,48.1,4,4.4,0.59,0.329,0.313,2,2,2,0.869565217
Kareem Abdul-Jabbar,2,1980-1989,1,Two-Way Paint Beast,20,1560,18,237,6,2,15,11,24.6,24.3,36.2,44.1,38,3.7,4.1,0.592,0.281,0.267,3,3,3,0.75
Bill Russell,0,1960-1969,5,Defensive Anchor / Glass Cleaner,13,963,13,165,11,0,11,1,15.1,16.2,,,,2.3,2.5,0.471,,,4,5,5,0.846153846
Magic Johnson,2,1980-1989,2,Point Forward / Playmaker,13,906,13,190,5,3,10,0,19.5,19.5,40.4,44,42.4,2.9,3.2,0.61,0.302,0.287,5,6,4,0.769230769
Wilt Chamberlain,0,1960-1969,0,Heliocentric Scorer,14,1045,13,160,2,1,10,2,30.1,22.5,,,,4.5,5,0.547,,,6,9,9,0.714285714
Shaquille O'Neal,4,2000-2009,1,Two-Way Paint Beast,19,1207,17,216,4,3,14,3,23.7,24.3,38.5,48.4,40.4,3.6,4,0.586,0.292,0.277,7,8,6,0.736842105
Tim Duncan,4,2000-2009,1,Two-Way Paint Beast,19,1392,18,251,5,3,15,15,19,20.6,36.3,43.4,38.1,2.8,3.1,0.551,0.282,0.268,8,4,7,0.789473684
Larry Bird,2,1980-1989,2,Point Forward / Playmaker,13,897,12,164,3,2,10,3,24.3,23.8,44,48.9,46.2,3.6,4,0.564,0.32,0.304,9,10,8,0.769230769
Kobe Bryant,4,2000-2009,0,Heliocentric Scorer,20,1346,15,220,5,2,15,12,25,25.6,37.2,45.1,39.1,3.8,4.2,0.55,0.286,0.272,10,7,11,0.75
Hakeem Olajuwon,3,1990-1999,1,Two-Way Paint Beast,18,1238,15,145,2,2,12,9,21.8,25.9,37.7,45.3,39.6,3.3,3.6,0.553,0.289,0.275,11,14,12,0.666666667
Stephen Curry,5,2010-2019,4,Pure Sharpshooter / Off-Ball Weapon,17,1069,10,155,4,1,10,0,24.8,26.8,38.7,42.6,40.6,3.7,4.1,0.626,0.294,0.279,12,13,10,0.588235294
Oscar Robertson,1,1970-1979,3,Floor General / Facilitator,14,1040,10,86,1,0,11,0,25.7,22.2,,,,3.9,4.3,0.564,,,13,22,14,0.785714286
Kevin Durant,5,2010-2019,0,Heliocentric Scorer,18,1201,14,171,2,2,11,0,27.1,29.3,42.4,44.7,44.5,4.1,4.5,0.622,0.312,0.296,14,12,13,0.611111111
Julius Erving,2,1980-1989,2,Point Forward / Playmaker,11,836,11,141,3,0,7,0,22,21.9,34.9,38.8,36.6,3.3,3.6,0.558,0.274,0.26,15,11,20,0.636363636
Jerry West,1,1970-1979,3,Floor General / Facilitator,14,932,13,153,1,1,12,5,27,29.1,,,,4,4.4,0.55,,,16,20,15,0.857142857
Karl Malone,3,1990-1999,1,Two-Way Paint Beast,19,1476,19,193,2,0,14,4,25,24.7,42.3,47.9,44.4,3.8,4.2,0.577,0.312,0.296,17,15,22,0.736842105
