Player_Name,Era_ID,Era_Label,Archetype_ID,Archetype_Label,Seasons_Played,Career_Games,Playoff_Seasons,Playoff_Games,Championships,Finals_MVP,All_NBA_Teams,All_Defensive_Teams,Career_PPG,Playoff_PPG,Career_PER,Peak_5Yr_PER,Playoff_PER,Career_BPM,Playoff_BPM,Career_TS_Pct,Career_WS_per_48,Playoff_WS_per_48,Athletic_Raw_Rank,Yahoo_Raw_Rank,BR_Raw_Rank,All_NBA_PS,Career_PPG_Global_Scaled,Championships_Global_Scaled,All_NBA_Teams_Global_Scaled,All_Defensive_Teams_Global_Scaled,Seasons_Played_Global_Scaled,Global_Classic_Index,Global_Classic_Rank
Bob McAdoo,1,1970-1979,0,Heliocentric Scorer,14,852,9,94,0,0,2,0,22.1,18.3,26.2,38.9,27.5,3.3,3.6,0.551,0.231,0.219,58,71,61,0.142857143,0.5143711412627558,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-0.24797363828987237,-0.7381879679069652,76
Tracy McGrady,4,2000-2009,0,Heliocentric Scorer,15,938,9,50,0,0,2,0,19.6,22.2,29.1,44.6,30.6,2.9,3.2,0.519,0.246,0.234,60,58,59,0.133333333,-0.005656440361527005,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,0.05276034857231315,-0.74915264764507,77
Hal Greer,0,1960-1969,3,Floor General / Facilitator,15,1122,13,92,0,0,2,0,19.2,20.4,,,,2.9,3.2,0.506,,,73,84,73,0.133333333,-0.0888608534214127,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,0.05276034857231315,-0.7533128682980642,78
Bob Lanier,2,1980-1989,1,Two-Way Paint Beast,14,959,9,67,0,0,2,0,20.1,18.6,30.5,36.3,32.0,3.0,3.3,0.559,0.252,0.239,101,101,82,0.142857143,0.09834907596332956,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-0.24797363828987237,-0.7589890711719365,79
Dolph Schayes,0,1960-1969,2,Point Forward / Playmaker,15,996,14,97,0,0,2,0,18.5,19.5,,,,2.8,3.1,0.488,,,63,42,56,0.133333333,-0.23446857627621176,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,0.05276034857231315,-0.7605932544408042,80
Al Horford,5,2010-2019,2,Point Forward / Playmaker,19,1183,16,197,0,0,2,0,12.7,11.9,26.5,31.0,27.8,1.9,2.1,0.573,0.232,0.22,101,97,101,0.105263158,-1.4409325656445482,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,1.2556962960210551,-0.7607696565367839,81
Jimmy Butler,6,2020-2029,2,Point Forward / Playmaker,15,907,12,130,0,0,2,0,18.4,21.1,31.9,37.5,33.5,2.8,3.1,0.592,0.26,0.247,99,81,83,0.133333333,-0.25526967954118335,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,0.05276034857231315,-0.7616333096040527,82
Chauncey Billups,4,2000-2009,3,Floor General / Facilitator,17,1043,12,146,0,0,2,0,15.2,17.3,23.9,30.3,25.1,2.3,2.5,0.58,0.22,0.209,101,59,91,0.117647059,-0.9209049840202652,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,0.6542283222966842,-0.7648416761417883,83
Amar'e Stoudemire,4,2000-2009,0,Heliocentric Scorer,14,846,10,78,0,0,2,0,18.9,18.7,27.5,36.9,28.9,2.8,3.1,0.597,0.238,0.226,101,93,101,0.142857143,-0.1512641632163268,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-0.24797363828987237,-0.7714697331309193,84
Alonzo Mourning,3,1990-1999,1,Two-Way Paint Beast,15,838,11,95,0,0,2,0,17.1,13.6,25.2,35.7,26.5,2.6,2.9,0.583,0.226,0.215,75,85,87,0.133333333,-0.5256840219858099,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,0.05276034857231315,-0.7751540267262841,85
Pete Maravich,2,1980-1989,0,Heliocentric Scorer,10,658,4,26,0,0,2,0,24.2,18.7,25.5,25.5,26.8,3.6,4.0,0.5,0.228,0.217,81,101,77,0.2,0.951194309827153,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-1.4509095857386145,-0.7764936068511823,86
Lenny Wilkens,1,1970-1979,3,Floor General / Facilitator,15,1077,7,64,0,0,2,0,16.5,16.1,,,,2.5,2.8,0.511,,,96,101,92,0.133333333,-0.6504906415756381,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,0.05276034857231315,-0.7813943577057755,87
Dave Bing,3,1970-1979,0,Heliocentric Scorer,12,901,5,31,0,0,2,0,20.3,15.4,20.8,,21.8,3.0,3.3,0.502,0.204,0.194,98,101,99,0.166666667,0.13995128249327204,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-0.8494416120142434,-0.7869823595316578,88
Earl Monroe,1,1970-1979,3,Floor General / Facilitator,13,926,8,82,0,0,2,0,18.8,17.9,18.5,,19.4,2.8,3.1,0.517,0.192,0.182,67,101,89,0.153846154,-0.17206526648129766,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-0.5487076251520578,-0.7875464876372771,89
Klay Thompson,5,2010-2019,4,Pure Sharpshooter / Off-Ball Weapon,13,934,9,158,0,0,2,0,18.6,19.2,27.1,31.1,28.5,2.8,3.1,0.571,0.236,0.224,101,101,98,0.153846154,-0.21366747301124014,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-0.5487076251520578,-0.7896265979637742,90
Paul Arizin,0,1960-1969,4,Pure Sharpshooter / Off-Ball Weapon,10,713,8,49,0,0,2,0,22.8,24.2,,,,3.4,3.7,0.506,,,89,69,72,0.2,0.6599788641175549,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-1.4509095857386145,-0.7910543791366622,91
Shai Gilgeous-Alexander,6,2020-2029,0,Heliocentric Scorer,8,530,5,55,0,0,2,0,25.3,26.2,39.8,46.2,41.8,3.8,4.2,0.616,0.299,0.284,101,48,101,0.25,1.1800064457418378,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-2.0523775594629856,-0.7951263987416667,92
Spencer Haywood,3,1990-1999,2,Point Forward / Playmaker,12,760,4,33,0,0,2,0,19.2,13.4,25.1,28.0,26.4,2.9,3.2,0.517,0.226,0.215,83,101,101,0.166666667,-0.0888608534214127,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-0.8494416120142434,-0.7984229663273921,93
Joe Dumars,3,1990-1999,3,Floor General / Facilitator,14,1018,10,112,0,1,2,0,16.1,15.6,24.7,30.2,25.9,2.4,2.6,0.554,0.224,0.213,101,101,96,0.142857143,-0.733695054635523,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-0.24797363828987237,-0.8005912777018791,94
Dikembe Mutombo,4,2000-2009,5,Defensive Anchor / Glass Cleaner,18,1196,13,101,0,0,2,0,9.8,9.1,22.0,29.2,23.1,1.5,1.6,0.573,0.21,0.199,101,73,81,0.111111111,-2.0441645603287157,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,0.9549623091588697,-0.8059679556141016,95
Horace Grant,3,1990-1999,5,Defensive Anchor / Glass Cleaner,17,1165,13,170,0,0,2,0,11.2,11.2,23.4,30.1,24.6,1.7,1.9,0.54,0.217,0.206,101,92,101,0.117647059,-1.7529491146191178,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,0.6542283222966842,-0.806443882671731,96
Nate Thurmond,1,1970-1979,5,Defensive Anchor / Glass Cleaner,14,964,9,81,0,0,2,0,15.0,11.9,,,,2.2,2.4,0.47,,,90,101,101,0.142857143,-0.9625071905502077,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-0.24797363828987237,-0.8120318844976133,97
Sam Jones,0,1960-1969,4,Pure Sharpshooter / Off-Ball Weapon,12,871,12,154,0,0,2,0,17.7,18.9,,,,2.7,3.0,0.503,,,77,70,85,0.166666667,-0.4008774023959824,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-0.8494416120142434,-0.8140237937761206,98
Dennis Johnson,2,1980-1989,3,Floor General / Facilitator,14,1100,13,180,0,0,2,0,14.1,17.3,25.4,28.5,26.7,2.1,2.3,0.511,0.227,0.216,88,101,101,0.142857143,-1.1497171199349496,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-0.24797363828987237,-0.8213923809668504,99
Billy Cunningham,1,1970-1979,2,Point Forward / Playmaker,9,654,6,39,0,0,2,0,20.8,19.4,,,,3.1,3.4,0.503,,,69,101,101,0.222222222,0.24395679881812862,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-1.7516435726008,-0.8268921817447429,100
Bill Sharman,0,1960-1969,4,Pure Sharpshooter / Off-Ball Weapon,11,711,10,78,0,0,2,0,17.8,18.5,,,,2.7,3.0,0.497,,,93,80,94,0.181818182,-0.3800762991310108,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-1.1501755988764288,-0.8280204379559812,101
Dave DeBusschere,3,1960-1969,2,Point Forward / Playmaker,12,875,8,96,0,0,2,0,16.1,16.0,,,,2.4,2.6,0.472,,,97,101,95,0.166666667,-0.733695054635523,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-0.8494416120142434,-0.8306646763880976,102
George Mikan,0,1960-1969,1,Two-Way Paint Beast,7,439,7,70,0,0,2,0,23.1,24.0,,,,3.5,3.9,0.483,,,36,52,44,0.285714286,0.722382173912469,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-2.353111546325171,-0.8330443116762444,103
Jerry Lucas,1,1970-1979,1,Two-Way Paint Beast,11,829,8,72,0,0,2,0,17.0,12.4,,,,2.6,2.9,0.544,,,76,94,101,0.181818182,-0.5464851252507815,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-1.1501755988764288,-0.8363408792619698,104
Marc Gasol,5,2010-2019,5,Defensive Anchor / Glass Cleaner,13,891,9,99,0,0,2,0,14.0,13.4,26.9,32.1,28.2,2.1,2.3,0.557,0.234,0.222,101,99,101,0.153846154,-1.170518223199921,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-0.5487076251520578,-0.8374691354732082,105
Sidney Moncrief,2,1980-1989,5,Defensive Anchor / Glass Cleaner,11,767,11,93,0,0,2,0,15.6,16.0,25.6,34.7,26.9,2.3,2.5,0.591,0.228,0.217,95,86,101,0.181818182,-0.83770057096038,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-1.1501755988764288,-0.8509016515474497,106
Rudy Gobert,6,2020-2029,5,Defensive Anchor / Glass Cleaner,13,905,10,96,0,0,2,0,12.5,11.6,28.1,33.3,29.5,1.9,2.1,0.672,0.241,0.229,101,64,101,0.153846154,-1.4825347721744906,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-0.5487076251520578,-0.8530699629219367,107
Kevin McHale,2,1980-1989,5,Defensive Anchor / Glass Cleaner,13,971,13,169,3,0,1,6,17.9,18.8,30.0,37.6,31.5,2.7,3.0,0.605,0.25,0.238,52,50,46,0.076923077,-0.35927519586603995,0.8761182113188857,-1.0910860189963592,1.2436956839232938,-0.5487076251520578,-0.8700002197224086,108
Draymond Green,6,2020-2029,5,Defensive Anchor / Glass Cleaner,14,949,10,169,0,0,2,0,8.7,11.4,22.6,27.4,23.7,1.3,1.4,0.541,0.213,0.202,100,77,88,0.142857143,-2.2729766962434006,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-0.24797363828987237,-0.877555359782273,109
Ben Wallace,4,2000-2009,5,Defensive Anchor / Glass Cleaner,16,1088,8,130,0,0,2,0,5.7,7.2,17.5,26.0,18.4,0.9,1.0,0.474,0.188,0.179,101,66,101,0.125,-2.89700979419254,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,0.35349433543449865,-0.8786836159935113,110
Bill Walton,3,1990-1999,0,Heliocentric Scorer,10,468,4,49,0,0,2,0,13.3,10.8,24.0,28.9,25.2,2.0,2.2,0.551,0.22,0.209,74,87,55,0.2,-1.3161259460547199,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-1.4509095857386145,-0.8898596196452759,111
Dennis Rodman,3,1990-1999,5,Defensive Anchor / Glass Cleaner,14,911,11,169,0,0,2,0,7.3,6.4,24.2,29.3,25.4,1.1,1.2,0.546,0.221,0.21,64,89,67,0.142857143,-2.564192141952999,-0.6526186676150884,-0.8528028654224417,-0.5359860060422563,-0.24797363828987237,-0.8921161320677529,112
Wes Unseld,1,1970-1979,5,Defensive Anchor / Glass Cleaner,13,984,12,119,1,0,1,0,10.8,10.6,27.2,,28.6,1.6,1.8,0.537,0.236,0.224,62,78,70,0.076923077,-1.8361535276790029,-0.1430397079704303,-1.0910860189963592,-0.5359860060422563,-0.5487076251520578,-1.025376769856202,113
Chris Bosh,5,2010-2019,2,Point Forward / Playmaker,13,893,6,89,2,0,0,0,19.2,15.6,33.4,39.4,35.1,2.9,3.2,0.571,0.267,0.254,86,90,71,0.0,-0.0888608534214127,0.3665392516742277,-1.3293691725702768,-0.5359860060422563,-0.5487076251520578,-1.0926380053023623,114
