Player_Name,Era_ID,Era_Label,Archetype_ID,Archetype_Label,Seasons_Played,Career_Games,Playoff_Seasons,Playoff_Games,Championships,Finals_MVP,All_NBA_Teams,All_Defensive_Teams,Career_PPG,Playoff_PPG,Career_PER,Peak_5Yr_PER,Playoff_PER,Career_BPM,Playoff_BPM,Career_TS_Pct,Career_WS_per_48,Playoff_WS_per_48,Athletic_Raw_Rank,Yahoo_Raw_Rank,BR_Raw_Rank,All_NBA_PS,Career_PPG_Global_Scaled,Championships_Global_Scaled,All_NBA_Teams_Global_Scaled,All_Defensive_Teams_Global_Scaled,Seasons_Played_Global_Scaled,Global_Classic_Index,Global_Classic_Rank
Charles Barkley,3,1990-1999,2,Point Forward / Playmaker,16,1073,13,123,0,0,11,0,22.1,23.0,41.0,46.3,43.1,3.3,3.6,0.612,0.305,0.29,23,30,25,0.6875,0.5143711412627558,-0.6526186676150884,1.2917455167428162,-0.5359860060422563,0.35349433543449865,1.050415104154765,19
John Stockton,3,1990-1999,3,Floor General / Facilitator,19,1504,19,182,0,0,11,5,13.1,13.4,28.1,35.8,29.5,2.0,2.2,0.608,0.241,0.229,33,27,29,0.578947368,-1.3577281525846627,-0.6526186676150884,1.2917455167428162,0.9470820689290355,1.2556962960210551,1.001920237491722,20
Wilt Chamberlain,0,1960-1969,0,Heliocentric Scorer,14,1045,13,160,2,1,10,2,30.1,22.5,,,,4.5,5.0,0.547,,,6,9,9,0.714285714,2.178459402460461,0.3665392516742277,1.0534623631688989,0.05724122394626036,-0.24797363828987237,0.9896865661409646,21
Magic Johnson,2,1980-1989,2,Point Forward / Playmaker,13,906,13,190,5,3,10,0,19.5,19.5,40.4,44.0,42.4,2.9,3.2,0.61,0.302,0.287,5,6,4,0.769230769,-0.026457543626498613,1.8952761306082018,1.0534623631688989,-0.5359860060422563,-0.5487076251520578,0.9867029698082252,22
Larry Bird,2,1980-1989,2,Point Forward / Playmaker,13,897,12,164,3,2,10,3,24.3,23.8,44.0,48.9,46.2,3.6,4.0,0.564,0.32,0.304,9,10,8,0.769230769,0.9719954130921246,0.8761182113188857,1.0534623631688989,0.3538548389405187,-0.5487076251520578,0.9550929841010111,23
David Robinson,3,1990-1999,1,Two-Way Paint Beast,14,987,12,123,2,0,10,8,21.1,18.1,37.1,45.5,39.0,3.2,3.5,0.583,0.286,0.272,21,19,19,0.714285714,0.3063601086130427,0.3665392516742277,1.0534623631688989,1.8369229139118106,-0.24797363828987237,0.8960816014485936,24
James Harden,5,2010-2019,0,Heliocentric Scorer,17,1221,17,187,0,0,10,0,24.0,22.3,40.6,50.4,42.6,3.6,4.0,0.608,0.303,0.288,34,28,34,0.588235294,0.9095921032972105,-0.6526186676150884,1.0534623631688989,-0.5359860060422563,0.6542283222966842,0.8898206656689845,25
Elgin Baylor,0,1960-1969,0,Heliocentric Scorer,14,846,12,134,0,0,10,0,27.4,27.0,,,,4.1,4.5,0.494,,,24,53,26,0.714285714,1.6168296143062348,-0.6526186676150884,1.0534623631688989,-0.5359860060422563,-0.24797363828987237,0.8800724431901079,26
Rick Barry,1,1970-1979,2,Point Forward / Playmaker,10,794,7,74,1,1,10,0,23.2,24.8,27.6,,29.0,3.5,3.9,0.51,0.238,0.226,26,33,41,1.0,0.7431832771774398,-0.1430397079704303,1.0534623631688989,-0.5359860060422563,-1.4509095857386145,0.8170096457328038,27
Kevin Garnett,4,2000-2009,2,Point Forward / Playmaker,21,1462,14,143,1,0,9,12,17.8,18.2,32.3,46.0,33.9,2.7,3.0,0.546,0.261,0.248,18,16,16,0.428571429,-0.3800762991310108,-0.1430397079704303,0.8151792095949812,3.023377373888844,1.8571642697454263,0.730858173760971,28
Russell Westbrook,5,2010-2019,0,Heliocentric Scorer,18,1301,14,135,0,0,9,0,20.9,22.5,37.5,49.6,39.4,3.1,3.4,0.526,0.288,0.274,47,38,48,0.5,0.26475790208309946,-0.6526186676150884,0.8151792095949812,-0.5359860060422563,0.9549623091588697,0.6772234690207759,29
Gary Payton,3,1990-1999,3,Floor General / Facilitator,17,1335,15,154,1,0,9,9,16.3,14.0,30.3,40.2,31.8,2.4,2.6,0.528,0.252,0.239,50,41,53,0.529411765,-0.6920928481055805,-0.1430397079704303,0.8151792095949812,2.133536528906069,0.6542283222966842,0.6551105489398054,30
Moses Malone,2,1980-1989,1,Two-Way Paint Beast,19,1329,12,94,3,1,8,1,20.6,22.1,34.8,48.2,36.5,3.1,3.4,0.569,0.274,0.26,19,24,21,0.421052632,0.20235459228818614,0.8761182113188857,0.5768960560210636,-0.23937239104799798,1.2556962960210551,0.616046767258245,31
George Gervin,2,1980-1989,0,Heliocentric Scorer,10,791,9,59,0,0,9,0,26.2,27.0,36.9,41.5,38.7,3.9,4.3,0.572,0.284,0.27,43,43,42,0.9,1.3672163751265793,-0.6526186676150884,0.8151792095949812,-0.5359860060422563,-1.4509095857386145,0.6120527979280757,32
Dwyane Wade,5,2010-2019,0,Heliocentric Scorer,16,1054,13,177,3,1,8,3,22.0,22.3,32.8,42.4,34.4,3.3,3.6,0.554,0.264,0.251,27,25,23,0.5,0.49357003799778426,0.8761182113188857,0.5768960560210636,0.3538548389405187,0.35349433543449865,0.5854974415143971,33
Giannis Antetokounmpo,6,2020-2029,2,Point Forward / Playmaker,13,895,9,84,1,0,8,5,24.1,27.0,44.2,53.0,46.4,3.6,4.0,0.613,0.321,0.305,22,18,24,0.615384615,0.9303932065621822,-0.1430397079704303,0.5768960560210636,0.9470820689290355,-0.5487076251520578,0.4806958683701439,34
Dwight Howard,5,2010-2019,0,Heliocentric Scorer,18,1242,12,125,1,0,8,5,15.7,15.3,30.7,39.4,32.2,2.4,2.6,0.602,0.254,0.241,56,35,52,0.444444444,-0.8168994676954087,-0.1430397079704303,0.5768960560210636,0.9470820689290355,0.9549623091588697,0.46851473137281074,35
Scottie Pippen,3,1990-1999,2,Point Forward / Playmaker,17,1178,16,208,6,0,7,10,16.1,17.5,28.9,37.3,30.3,2.4,2.6,0.536,0.244,0.232,30,31,28,0.411764706,-0.733695054635523,2.40485509025286,0.3386129024471461,2.430150143900327,0.6542283222966842,0.4660776506099466,36
Julius Erving,2,1980-1989,2,Point Forward / Playmaker,11,836,11,141,3,0,7,0,22.0,21.9,34.9,38.8,36.6,3.3,3.6,0.558,0.274,0.26,15,11,20,0.636363636,0.49357003799778426,0.8761182113188857,0.3386129024471461,-0.5359860060422563,-1.1501755988764288,0.31492175886823837,37
Allen Iverson,4,2000-2009,0,Heliocentric Scorer,14,914,8,71,0,0,7,0,26.7,29.7,36.0,43.7,37.8,4.0,4.4,0.518,0.28,0.266,49,46,36,0.5,1.471221891451436,-0.6526186676150884,0.3386129024471461,-0.5359860060422563,-0.24797363828987237,0.2866154992555309,38
Dominique Wilkins,3,1990-1999,0,Heliocentric Scorer,15,1074,10,56,0,0,7,0,24.8,25.4,37.1,42.8,39.0,3.7,4.1,0.536,0.286,0.272,54,79,50,0.466666667,1.0760009294169812,-0.6526186676150884,0.3386129024471461,-0.5359860060422563,0.05276034857231315,0.28189115049691743,39
Patrick Ewing,3,1990-1999,1,Two-Way Paint Beast,17,1183,14,139,0,0,7,3,21.0,20.2,35.0,43.1,36.8,3.2,3.5,0.553,0.275,0.261,38,56,40,0.411764706,0.2855590053480711,-0.6526186676150884,0.3386129024471461,0.3538548389405187,0.6542283222966842,0.2724424529796905,40
Damian Lillard,5,2010-2019,0,Heliocentric Scorer,13,900,10,68,0,0,7,0,25.1,25.2,40.3,44.4,42.3,3.8,4.2,0.59,0.302,0.287,65,67,64,0.538461538,1.1384042392118954,-0.6526186676150884,0.3386129024471461,-0.5359860060422563,-0.5487076251520578,0.25493791730044457,41
Steve Nash,4,2000-2009,3,Floor General / Facilitator,18,1217,12,120,0,0,7,0,14.3,17.3,26.2,33.6,27.5,2.1,2.3,0.605,0.231,0.219,39,37,35,0.388888889,-1.1081149134050068,-0.6526186676150884,0.3386129024471461,-0.5359860060422563,0.9549623091588697,0.21779545638514589,42
Carmelo Anthony,5,2010-2019,0,Heliocentric Scorer,19,1260,13,83,0,0,6,0,22.5,23.1,34.7,40.4,36.4,3.4,3.7,0.543,0.274,0.26,66,88,60,0.315789474,0.5975755543226408,-0.6526186676150884,0.10032974887322854,-0.5359860060422563,1.2556962960210551,0.12272449318402513,43
Kawhi Leonard,5,2010-2019,2,Point Forward / Playmaker,14,798,12,146,2,2,6,7,20.7,21.5,33.8,40.9,35.5,3.1,3.4,0.607,0.269,0.256,35,26,32,0.428571429,0.223155695553157,0.3665392516742277,0.10032974887322854,1.5403092989175522,-0.24797363828987237,0.11035263707314985,44
Elvin Hayes,1,1970-1979,1,Two-Way Paint Beast,16,1303,10,96,1,0,6,2,21.0,22.9,30.3,35.7,31.8,3.2,3.5,0.491,0.252,0.239,42,60,47,0.375,0.2855590053480711,-0.1430397079704303,0.10032974887322854,0.05724122394626036,0.35349433543449865,0.10277988447754147,45
Walt Frazier,1,1970-1979,0,Heliocentric Scorer,13,825,8,93,2,0,6,7,18.9,20.7,16.4,,17.2,2.8,3.1,0.542,0.182,0.173,46,45,43,0.461538462,-0.1512641632163268,0.3665392516742277,0.10032974887322854,1.5403092989175522,-0.5487076251520578,0.0765949447915664,46
Jason Kidd,4,2000-2009,3,Floor General / Facilitator,19,1391,17,158,1,0,6,9,12.6,12.9,29.2,35.4,30.7,1.9,2.1,0.507,0.246,0.234,37,36,33,0.315789474,-1.4617336689095193,-0.1430397079704303,0.10032974887322854,2.133536528906069,1.2556962960210551,0.06052534879398977,47
Nikola Jokic,6,2020-2029,2,Point Forward / Playmaker,11,810,8,100,1,1,6,0,22.2,27.4,45.8,55.0,48.1,3.3,3.6,0.641,0.329,0.313,28,21,17,0.545454545,0.5351722445277267,-0.1430397079704303,0.10032974887322854,-0.5359860060422563,-1.1501755988764288,0.040077049720977864,48
Anthony Davis,6,2020-2029,1,Two-Way Paint Beast,14,807,6,60,1,0,5,5,24.0,26.1,42.0,45.4,44.1,3.6,4.0,0.591,0.31,0.294,57,39,45,0.357142857,0.9095921032972105,-0.1430397079704303,-0.137953404700689,0.9470820689290355,-0.24797363828987237,-0.09148404524183248,49
Clyde Drexler,3,1990-1999,3,Floor General / Facilitator,15,1086,15,145,1,0,5,0,20.4,20.4,35.5,41.8,37.3,3.1,3.4,0.547,0.277,0.263,44,49,39,0.333333333,0.1607523857582429,-0.1430397079704303,-0.137953404700689,-0.5359860060422563,0.05276034857231315,-0.11388933177567159,50
Isiah Thomas,2,1980-1989,3,Floor General / Facilitator,13,979,9,111,2,1,5,0,19.2,20.4,33.6,38.7,35.3,2.9,3.2,0.516,0.268,0.255,25,40,27,0.384615385,-0.0888608534214127,0.3665392516742277,-0.137953404700689,-0.5359860060422563,-0.5487076251520578,-0.11567707564930028,51
Joel Embiid,6,2020-2029,1,Two-Way Paint Beast,10,490,8,66,0,0,5,3,27.6,24.8,45.3,49.9,47.6,4.1,4.5,0.613,0.326,0.31,41,61,66,0.5,1.6584318208361781,-0.6526186676150884,-0.137953404700689,0.3538548389405187,-1.4509095857386145,-0.15495517350889387,52
Nate Archibald,1,1970-1979,0,Heliocentric Scorer,13,876,5,47,1,0,5,0,18.8,14.2,20.6,22.1,21.6,2.8,3.1,0.543,0.203,0.193,70,96,80,0.384615385,-0.17206526648129766,-0.1430397079704303,-0.137953404700689,-0.5359860060422563,-0.5487076251520578,-0.16060361307386717,53
Willis Reed,1,1970-1979,1,Two-Way Paint Beast,10,650,7,78,2,0,5,1,18.7,17.4,,,,2.8,3.1,0.523,,,45,47,58,0.5,-0.19286636974626928,0.3665392516742277,-0.137953404700689,-0.23937239104799798,-1.4509095857386145,-0.16598744949487093,54
Luka Doncic,6,2020-2029,0,Heliocentric Scorer,8,514,5,55,0,0,5,0,29.2,30.9,50.1,52.5,52.6,4.4,4.8,0.592,0.351,0.333,53,74,57,0.625,1.9912494730757186,-0.6526186676150884,-0.137953404700689,-0.5359860060422563,-2.0523775594629856,-0.16838768958313538,55
