Player_Name,Era_Label,Classic_ML_Rank,Classic_Greatness_Index,All_NBA_Teams,Championships,Career_PPG,All_Defensive_Teams,Seasons_Played
Pete Maravich,1980-1989,86,13.197276501411181,2,0,24.2,0,10
Shai Gilgeous-Alexander,2020-2029,88,13.11355272129138,2,0,25.3,0,8
Adrian Dantley,1980-1989,89,12.541658533725872,2,0,24.3,0,15
Dikembe Mutombo,2000-2009,90,12.05735819292476,2,0,9.8,0,18
Bill Sharman,1960-1969,91,11.552834617256654,2,0,17.8,0,11
Spencer Haywood,1990-1999,92,9.18249102239517,2,0,19.2,0,12
Ben Wallace,2000-2009,93,8.943360428175858,2,0,5.7,0,16
Billy Cunningham,1970-1979,94,8.7324129392896,2,0,20.8,0,9
Draymond Green,2020-2029,95,8.669782424219203,2,0,8.7,0,14
Bob Lanier,1980-1989,96,7.904074952032718,2,0,20.1,0,14
Chauncey Billups,2000-2009,97,7.897816319254204,2,0,15.2,0,17
Amar'e Stoudemire,2000-2009,98,7.203405260792954,2,0,18.9,0,14
Lenny Wilkens,1970-1979,99,7.194116366519494,2,0,16.5,0,15
Bernard King,1990-1999,100,6.122546253703019,2,0,22.5,0,14
Dave Bing,1970-1979,101,5.634255711102386,2,0,20.3,0,12
Jerry Lucas,1970-1979,102,5.237758854634623,2,0,17.0,0,11
Klay Thompson,2010-2019,103,4.840198084898184,2,0,18.6,0,13
Earl Monroe,1970-1979,103,4.840198084898184,2,0,18.8,0,13
Rudy Gobert,2020-2029,105,4.620414619203796,2,0,12.5,0,13
Horace Grant,1990-1999,106,3.29260911867744,2,0,11.2,0,17
Dennis Johnson,1980-1989,107,1.596877012721558,2,0,14.1,0,14
Nate Thurmond,1970-1979,107,1.596877012721558,2,0,15.0,0,14
Sidney Moncrief,1980-1989,109,1.1444016745056222,2,0,15.6,0,11
Joe Dumars,1990-1999,110,1.0732047688158617,2,0,16.1,0,14
Kyle Lowry,2010-2019,111,0.9240047971685842,2,0,13.8,0,20
Al Horford,2010-2019,111,0.9240047971685842,2,0,12.7,0,19
Marc Gasol,2010-2019,113,0.43028430894125613,2,0,14.0,0,13
Dave DeBusschere,1960-1969,114,0.0,2,0,16.1,0,12
