NLP_Rank,Player_Name,Overall_NLP_Score,Respect_Score,Failings_Score,Positive_Attitude_Score,Negative_Attitude_Score,Context_Length
105,Dennis Johnson,0.893,88.543,87.731,86.798,86.717,3304
106,Tony Parker,0.855,87.984,87.0,86.069,86.198,3407
107,Jayson Tatum,0.813,88.77,87.86,86.842,86.939,3857
108,Carmelo Anthony,0.733,89.03,88.12,87.141,87.318,4181
109,Karl Malone,0.709,89.264,88.361,87.213,87.407,7017
110,Hakeem Olajuwon,0.554,89.056,88.264,87.187,87.425,5286
111,Marc Gasol,0.541,85.53,84.868,83.95,84.071,2060
112,Rudy Gobert,0.487,89.37,88.672,87.684,87.895,3644
113,Luka Doncic,0.308,87.812,87.208,86.235,86.531,1435
114,Kevin McHale,0.255,87.286,86.663,85.558,85.926,1800
